,0
Start,2017-02-06 00:00:00
End,2024-01-04 00:00:00
Duration,2523 days 00:00:00
Exposure Time [%],58.66050808314087
Equity Final [$],50267246.58994009
Equity Peak [$],62704341.135690086
Return [%],402.67246589940095
Buy & Hold Return [%],287.0967741935484
Return (Ann.) [%],26.483697326097943
Volatility (Ann.) [%],37.354690310185376
Sharpe Ratio,0.7089791698494345
Sortino Ratio,1.4025289817108189
Calmar Ratio,0.6168036087558906
Max. Drawdown [%],-42.93700125963314
Avg. Drawdown [%],-7.11366857646737
Max. Drawdown Duration,984 days 00:00:00
Avg. Drawdown Duration,59 days 00:00:00
# Trades,48
Win Rate [%],45.83333333333333
Best Trade [%],85.18588720530427
Worst Trade [%],-10.132615851076899
Avg. Trade [%],3.421328315422967
Max. Trade Duration,96 days 00:00:00
Avg. Trade Duration,30 days 00:00:00
Profit Factor,2.795353502782496
Expectancy [%],4.437894334357888
SQN,1.7601899558323624
