,ReportDataID,TermID,TermYear,TernDay,NormID,GroupName,NormGroupID,NormName,UnitCode,CssStyle,NormTypeID,FromSource,NormValue,ReportTime
0,72776,10,2023,2023-10-02 17:00:00,409,,0,Other goods and services ,%,Padding2,52,Tổng cục thống kê,0.17,Sep-2023
1,72775,10,2023,2023-10-02 17:00:00,408,,0,"Culture, entertainment and tourism",%,Padding2,52,Tổng cục thống kê,0.06,Sep-2023
2,72774,10,2023,2023-10-02 17:00:00,407,,0,Education,%,Padding2,52,Tổng cục thống kê,8.06,Sep-2023
3,72773,10,2023,2023-10-02 17:00:00,406,,0,Postal services and Telecommunication,%,Padding2,52,Tổng cục thống kê,-0.23,Sep-2023
4,72782,10,2023,2023-10-02 17:00:00,405,,0,Traffic,%,Padding2,52,Tổng cục thống kê,1.21,Sep-2023
5,72781,10,2023,2023-10-02 17:00:00,404,,0,Medicine and health care,%,Padding2,52,Tổng cục thống kê,0.07,Sep-2023
6,72780,10,2023,2023-10-02 17:00:00,403,,0,Household appliances and goods,%,Padding2,52,Tổng cục thống kê,0.12,Sep-2023
7,72779,10,2023,2023-10-02 17:00:00,402,,0,Housing and construction materials,%,Padding2,52,Tổng cục thống kê,1.12,Sep-2023
8,72778,10,2023,2023-10-02 17:00:00,401,,0,"Garment, Footwear, hat",%,Padding2,52,Tổng cục thống kê,0.19,Sep-2023
9,72777,10,2023,2023-10-02 17:00:00,400,,0,Beverage and cigarette,%,Padding2,52,Tổng cục thống kê,0.11,Sep-2023
10,72772,10,2023,2023-10-02 17:00:00,399,,0,Eating outside,%,Padding3,52,Tổng cục thống kê,0.54,Sep-2023
11,72771,10,2023,2023-10-02 17:00:00,398,,0,Foodstuff,%,Padding3,52,Tổng cục thống kê,0.38,Sep-2023
12,72770,10,2023,2023-10-02 17:00:00,397,,0,Food,%,Padding3,52,Tổng cục thống kê,3.19,Sep-2023
13,72769,10,2023,2023-10-02 17:00:00,396,,0,Food and foodstuff,%,Padding2,52,Tổng cục thống kê,0.73,Sep-2023
14,72767,10,2023,2023-10-02 17:00:00,395,,0,Consumer Price Index,%,Padding1,52,Tổng cục thống kê,1.08,Sep-2023
15,72469,9,2023,2023-09-03 17:00:00,409,,0,Other goods and services ,%,Padding2,52,Tổng cục thống kê,0.22,Aug-2023
16,72468,9,2023,2023-09-03 17:00:00,408,,0,"Culture, entertainment and tourism",%,Padding2,52,Tổng cục thống kê,0.09,Aug-2023
17,72467,9,2023,2023-09-03 17:00:00,407,,0,Education,%,Padding2,52,Tổng cục thống kê,0.96,Aug-2023
18,72466,9,2023,2023-09-03 17:00:00,406,,0,Postal services and Telecommunication,%,Padding2,52,Tổng cục thống kê,-0.17,Aug-2023
19,72475,9,2023,2023-09-03 17:00:00,405,,0,Traffic,%,Padding2,52,Tổng cục thống kê,3.85,Aug-2023
20,72474,9,2023,2023-09-03 17:00:00,404,,0,Medicine and health care,%,Padding2,52,Tổng cục thống kê,0.03,Aug-2023
21,72473,9,2023,2023-09-03 17:00:00,403,,0,Household appliances and goods,%,Padding2,52,Tổng cục thống kê,0.1,Aug-2023
22,72472,9,2023,2023-09-03 17:00:00,402,,0,Housing and construction materials,%,Padding2,52,Tổng cục thống kê,0.85,Aug-2023
23,72471,9,2023,2023-09-03 17:00:00,401,,0,"Garment, Footwear, hat",%,Padding2,52,Tổng cục thống kê,0.19,Aug-2023
24,72470,9,2023,2023-09-03 17:00:00,400,,0,Beverage and cigarette,%,Padding2,52,Tổng cục thống kê,0.28,Aug-2023
