date,Open,High,Low,Close,Volume,MA5,MA20
2017-01-03,8.28,8.51,8.26,8.47,1300330.0,,
2017-01-04,8.47,8.55,8.41,8.47,1224340.0,,
2017-01-05,8.49,8.53,8.45,8.49,565830.0,,
2017-01-06,8.49,8.77,8.49,8.58,2995300.0,,
2017-01-09,8.58,8.7,8.58,8.66,886970.0,8.534,
2017-01-10,8.66,8.66,8.55,8.6,870950.0,8.56,
2017-01-11,8.58,8.62,8.53,8.58,1121780.0,8.581999999999999,
2017-01-12,8.6,8.66,8.58,8.64,1161780.0,8.612,
2017-01-13,8.62,8.74,8.6,8.66,1747710.0,8.628,
2017-01-16,8.62,8.74,8.62,8.62,1108470.0,8.620000000000001,
2017-01-17,8.64,8.7,8.58,8.7,1113850.0,8.639999999999999,
2017-01-18,8.7,8.74,8.62,8.62,667990.0,8.648,
2017-01-19,8.53,8.62,8.51,8.51,620810.0,8.622,
2017-01-20,8.53,8.58,8.51,8.51,935820.0,8.592,
2017-01-23,8.51,8.51,8.43,8.45,1468570.0,8.557999999999998,
2017-01-24,8.45,8.53,8.43,8.47,883940.0,8.512,
2017-01-25,8.53,8.55,8.49,8.53,581370.0,8.494,
2017-02-02,8.62,8.72,8.55,8.72,1000230.0,8.536,
2017-02-03,8.74,8.74,8.64,8.66,1166140.0,8.565999999999999,
2017-02-06,8.68,8.74,8.64,8.68,794960.0,8.611999999999998,8.581
2017-02-07,8.72,8.85,8.68,8.83,3150060.0,8.684000000000001,8.599
2017-02-08,8.85,8.87,8.72,8.83,945220.0,8.744,8.617
2017-02-09,8.87,8.87,8.77,8.79,742300.0,8.758,8.632
2017-02-10,8.79,8.83,8.77,8.79,749990.0,8.784,8.6425
2017-02-13,8.83,8.98,8.83,8.96,2343770.0,8.84,8.6575
2017-02-14,8.96,9.02,8.91,8.91,2081730.0,8.856,8.672999999999998
2017-02-15,8.89,8.98,8.85,8.96,1057850.0,8.882,8.692
2017-02-16,9.04,9.06,8.79,8.83,1972960.0,8.89,8.7015
2017-02-17,8.83,8.89,8.79,8.89,1025850.0,8.91,8.713
2017-02-20,8.89,8.96,8.83,8.89,921320.0,8.896,8.7265
2017-02-21,8.94,8.96,8.85,8.89,1494150.0,8.892000000000001,8.736
2017-02-22,8.87,9.27,8.83,9.1,4351610.0,8.92,8.76
2017-02-23,9.1,9.21,9.0,9.13,1157830.0,8.98,8.791
2017-02-24,9.13,9.13,8.98,9.0,1136850.0,9.002,8.8155
2017-02-27,8.94,9.08,8.89,9.0,1638330.0,9.024000000000001,8.843
2017-02-28,9.06,9.19,8.96,8.96,1784580.0,9.038,8.8675
2017-03-01,8.96,8.98,8.81,8.96,1160570.0,9.010000000000002,8.889
2017-03-02,8.94,9.0,8.74,8.74,1028090.0,8.932,8.89
2017-03-03,8.87,8.89,8.72,8.79,799130.0,8.89,8.8965
2017-03-06,8.79,8.96,8.79,8.87,890510.0,8.864,8.906
2017-03-07,8.83,8.87,8.79,8.87,834030.0,8.846,8.908000000000001
2017-03-08,8.87,9.04,8.79,8.87,1127560.0,8.828,8.91
2017-03-09,8.89,9.15,8.85,9.08,3902000.0,8.895999999999999,8.9245
2017-03-10,9.17,9.21,9.02,9.02,1574500.0,8.941999999999998,8.936000000000002
2017-03-13,9.04,9.06,8.94,9.04,1150100.0,8.975999999999999,8.940000000000001
2017-03-14,9.06,9.13,9.04,9.04,1093080.0,9.01,8.9465
2017-03-15,9.0,9.06,8.96,9.0,1195640.0,9.035999999999998,8.9485
2017-03-16,8.98,9.42,8.98,9.42,6659800.0,9.104,8.978
