date,open,high,low,close,symbol,industry sector
9/5/2022,11.94999981,NULL,11.85000038,11.85000038,AAA,Hóa Ch?t
9/6/2022,11.89999962,12.10000038,11.89999962,11.89999962,AAA,Hóa Ch?t
9/7/2022,11.89999962,11.94999981,11.39999962,11.39999962,AAA,Hóa Ch?t
9/8/2022,11.55000019,11.64999962,11.30000019,11.35000038,AAA,Hóa Ch?t
9/9/2022,11.39999962,11.5,11.05000019,11.30000019,AAA,Hóa Ch?t
9/12/2022,11.39999962,11.44999981,11.19999981,11.19999981,AAA,Hóa Ch?t
9/13/2022,11.19999981,11.30000019,11.05000019,11.19999981,AAA,Hóa Ch?t
9/14/2022,11.05000019,11.25,10.89999962,11.25,AAA,Hóa Ch?t
9/15/2022,11.39999962,11.44999981,11.25,11.25,AAA,Hóa Ch?t
9/16/2022,11.25,11.30000019,11,NULL,AAA,Hóa Ch?t
9/19/2022,NULL,11.05000019,10.60000038,10.60000038,AAA,Hóa Ch?t
9/20/2022,10.75,10.80000019,10.5,10.80000019,AAA,Hóa Ch?t
9/21/2022,10.69999981,10.75,10.5,10.69999981,AAA,Hóa Ch?t
9/22/2022,10.55000019,10.94999981,10.55000019,10.89999962,AAA,Hóa Ch?t
9/23/2022,10.94999981,10.94999981,10.69999981,10.69999981,AAA,Hóa Ch?t
9/26/2022,10.55000019,10.64999962,10.19999981,10.35000038,AAA,Hóa Ch?t
9/27/2022,10.39999962,10.55000019,10.30000019,10.30000019,AAA,Hóa Ch?t
9/28/2022,10.30000019,10.39999962,10.14999962,10.30000019,AAA,Hóa Ch?t
9/29/2022,10.39999962,10.5,10.05000019,10.05000019,AAA,Hóa Ch?t
9/30/2022,NULL,NULL,9.550000191,9.890000343,AAA,Hóa Ch?t
10/3/2022,9.890000343,9.899999619,9.199999809,9.199999809,AAA,Hóa Ch?t
10/4/2022,9.260000229,9.5,9,NULL,AAA,Hóa Ch?t
10/5/2022,9.25,9.279999733,9.109999657,9.239999771,AAA,Hóa Ch?t
10/6/2022,9.279999733,9.319999695,8.800000191,8.800000191,AAA,Hóa Ch?t
10/7/2022,8.75,8.75,8.18999958,8.199999809,AAA,Hóa Ch?t
10/10/2022,NULL,8.390000343,7.96999979,8.270000458,AAA,Hóa Ch?t
10/11/2022,8.279999733,8.300000191,7.699999809,7.699999809,AAA,Hóa Ch?t
10/12/2022,7.599999905,8.090000153,7.599999905,8.050000191,AAA,Hóa Ch?t
10/13/2022,8.06000042,8.100000381,7.960000038,8.050000191,AAA,Hóa Ch?t
10/14/2022,8.199999809,8.350000381,8.18999958,8.279999733,AAA,Hóa Ch?t
10/17/2022,8.199999809,8.319999695,8.010000229,8.159999847,AAA,Hóa Ch?t
10/18/2022,8.319999695,8.489999771,8.270000458,8.329999924,AAA,Hóa Ch?t
10/19/2022,8.340000153,8.409999847,8.210000038,8.300000191,AAA,Hóa Ch?t
10/20/2022,8.300000191,8.300000191,8.06000042,8.149999619,AAA,Hóa Ch?t
10/21/2022,8.149999619,8.149999619,7.579999924,7.579999924,AAA,Hóa Ch?t
10/24/2022,7.610000134,7.800000191,7.050000191,7.050000191,AAA,Hóa Ch?t
10/25/2022,7.059999943,7.539999962,6.800000191,7.349999905,AAA,Hóa Ch?t
10/26/2022,7.5,7.690000057,7.190000057,7.369999886,AAA,Hóa Ch?t
10/27/2022,7.449999809,7.860000134,7.380000114,7.800000191,AAA,Hóa Ch?t
10/28/2022,7.949999809,8.100000381,7.650000095,7.769999981,AAA,Hóa Ch?t
10/31/2022,7.78000021,7.989999771,7.480000019,7.699999809,AAA,Hóa Ch?t
11/1/2022,7.800000191,7.989999771,7.690000057,7.760000229,AAA,Hóa Ch?t
11/2/2022,7.78000021,8.079999924,7.760000229,7.889999866,AAA,Hóa Ch?t
11/3/2022,7.760000229,7.929999828,7.75,7.809999943,AAA,Hóa Ch?t
11/4/2022,7.789999962,7.789999962,7.300000191,7.340000153,AAA,Hóa Ch?t
11/7/2022,7.329999924,7.599999905,6.860000134,6.869999886,AAA,Hóa Ch?t
11/8/2022,6.849999905,7.190000057,6.800000191,NULL,AAA,Hóa Ch?t
11/9/2022,7.110000134,7.21999979,7,7.099999905,AAA,Hóa Ch?t
11/10/2022,7.050000191,7.050000191,6.610000134,6.610000134,AAA,Hóa Ch?t
11/11/2022,6.71999979,6.900000095,6.5,6.5,AAA,Hóa Ch?t
11/14/2022,6.340000153,6.449999809,6.050000191,6.110000134,AAA,Hóa Ch?t
11/15/2022,5.75,6.050000191,5.690000057,5.690000057,AAA,Hóa Ch?t
11/16/2022,5.300000191,6.079999924,5.300000191,6.079999924,AAA,Hóa Ch?t
11/17/2022,6.380000114,6.5,6.199999809,6.400000095,AAA,Hóa Ch?t
11/18/2022,6.5,6.690000057,6.010000229,6.599999905,AAA,Hóa Ch?t
11/21/2022,6.650000095,7.039999962,6.610000134,NULL,AAA,Hóa Ch?t
11/22/2022,7.039999962,7.289999962,6.820000172,6.960000038,AAA,Hóa Ch?t
11/23/2022,6.980000019,7.019999981,6.610000134,6.650000095,AAA,Hóa Ch?t
11/24/2022,6.659999847,6.769999981,6.510000229,6.679999828,AAA,Hóa Ch?t
11/25/2022,6.849999905,NULL,6.75,NULL,AAA,Hóa Ch?t
11/28/2022,7.190000057,7.400000095,7.150000095,7.400000095,AAA,Hóa Ch?t
11/29/2022,7.5,7.599999905,7.159999847,7.400000095,AAA,Hóa Ch?t
11/30/2022,7.389999866,7.619999886,7.170000076,7.550000191,AAA,Hóa Ch?t
12/1/2022,7.599999905,NULL,7.590000153,7.599999905,AAA,Hóa Ch?t
12/2/2022,7.599999905,7.880000114,7.320000172,7.880000114,AAA,Hóa Ch?t
12/5/2022,8.100000381,8.18999958,7.889999866,7.989999771,AAA,Hóa Ch?t
12/6/2022,7.980000019,7.980000019,7.599999905,7.599999905,AAA,Hóa Ch?t
12/7/2022,7.5,7.599999905,7.210000038,7.210000038,AAA,Hóa Ch?t
12/8/2022,7.389999866,7.550000191,7.309999943,7.360000134,AAA,Hóa Ch?t
12/9/2022,7.369999886,7.519999981,7.289999962,7.409999847,AAA,Hóa Ch?t
12/12/2022,7.590000153,7.809999943,7.449999809,7.590000153,AAA,Hóa Ch?t
12/13/2022,7.679999828,7.679999828,7.369999886,7.5,AAA,Hóa Ch?t
12/14/2022,7.630000114,7.699999809,7.519999981,7.570000172,AAA,Hóa Ch?t
