,ReportDataID,TermID,TermYear,TernDay,NormID,NormGroupID,NormName,UnitCode,NormTypeID,FromSource,NormValue,ReportTime
0,72750,1,2023,2023-09-28 17:00:00,300,0,Interbank,VND/USD,53,Ngân hàng Nhà nước Việt Nam,,29/09/2023
1,72749,1,2023,2023-09-28 17:00:00,499,0,Central rate (from 04/01/2016),VND/USD,53,,24089.0,29/09/2023
2,72737,1,2023,2023-09-27 17:00:00,300,0,Interbank,VND/USD,53,Ngân hàng Nhà nước Việt Nam,,28/09/2023
3,72736,1,2023,2023-09-27 17:00:00,499,0,Central rate (from 04/01/2016),VND/USD,53,,24088.0,28/09/2023
4,72724,1,2023,2023-09-26 17:00:00,300,0,Interbank,VND/USD,53,Ngân hàng Nhà nước Việt Nam,,27/09/2023
5,72723,1,2023,2023-09-26 17:00:00,499,0,Central rate (from 04/01/2016),VND/USD,53,,24088.0,27/09/2023
6,72711,1,2023,2023-09-25 17:00:00,300,0,Interbank,VND/USD,53,Ngân hàng Nhà nước Việt Nam,,26/09/2023
7,72710,1,2023,2023-09-25 17:00:00,499,0,Central rate (from 04/01/2016),VND/USD,53,,24084.0,26/09/2023
8,72698,1,2023,2023-09-24 17:00:00,300,0,Interbank,VND/USD,53,Ngân hàng Nhà nước Việt Nam,,25/09/2023
9,72697,1,2023,2023-09-24 17:00:00,499,0,Central rate (from 04/01/2016),VND/USD,53,,24076.0,25/09/2023
10,72693,1,2023,2023-09-22 17:00:00,300,0,Interbank,VND/USD,53,Ngân hàng Nhà nước Việt Nam,,23/09/2023
11,72692,1,2023,2023-09-22 17:00:00,499,0,Central rate (from 04/01/2016),VND/USD,53,,24060.0,23/09/2023
12,72680,1,2023,2023-09-21 17:00:00,300,0,Interbank,VND/USD,53,Ngân hàng Nhà nước Việt Nam,,22/09/2023
13,72679,1,2023,2023-09-21 17:00:00,499,0,Central rate (from 04/01/2016),VND/USD,53,,24060.0,22/09/2023
14,72667,1,2023,2023-09-20 17:00:00,300,0,Interbank,VND/USD,53,Ngân hàng Nhà nước Việt Nam,,21/09/2023
15,72666,1,2023,2023-09-20 17:00:00,499,0,Central rate (from 04/01/2016),VND/USD,53,,24063.0,21/09/2023
16,72654,1,2023,2023-09-19 17:00:00,300,0,Interbank,VND/USD,53,Ngân hàng Nhà nước Việt Nam,,20/09/2023
17,72653,1,2023,2023-09-19 17:00:00,499,0,Central rate (from 04/01/2016),VND/USD,53,,24079.0,20/09/2023
18,72641,1,2023,2023-09-18 17:00:00,300,0,Interbank,VND/USD,53,Ngân hàng Nhà nước Việt Nam,,19/09/2023
19,72640,1,2023,2023-09-18 17:00:00,499,0,Central rate (from 04/01/2016),VND/USD,53,,24060.0,19/09/2023
20,72628,1,2023,2023-09-17 17:00:00,300,0,Interbank,VND/USD,53,Ngân hàng Nhà nước Việt Nam,,18/09/2023
21,72627,1,2023,2023-09-17 17:00:00,499,0,Central rate (from 04/01/2016),VND/USD,53,,24046.0,18/09/2023
22,72615,1,2023,2023-09-14 17:00:00,300,0,Interbank,VND/USD,53,Ngân hàng Nhà nước Việt Nam,,15/09/2023
23,72614,1,2023,2023-09-14 17:00:00,499,0,Central rate (from 04/01/2016),VND/USD,53,,24036.0,15/09/2023
24,72602,1,2023,2023-09-13 17:00:00,300,0,Interbank,VND/USD,53,Ngân hàng Nhà nước Việt Nam,,14/09/2023
25,72601,1,2023,2023-09-13 17:00:00,499,0,Central rate (from 04/01/2016),VND/USD,53,,24013.0,14/09/2023
26,72589,1,2023,2023-09-12 17:00:00,300,0,Interbank,VND/USD,53,Ngân hàng Nhà nước Việt Nam,,13/09/2023
27,72588,1,2023,2023-09-12 17:00:00,499,0,Central rate (from 04/01/2016),VND/USD,53,,23995.0,13/09/2023
28,72576,1,2023,2023-09-11 17:00:00,300,0,Interbank,VND/USD,53,Ngân hàng Nhà nước Việt Nam,,12/09/2023
29,72575,1,2023,2023-09-11 17:00:00,499,0,Central rate (from 04/01/2016),VND/USD,53,,23981.0,12/09/2023
30,72571,1,2023,2023-09-10 17:00:00,300,0,Interbank,VND/USD,53,Ngân hàng Nhà nước Việt Nam,,11/09/2023
31,72570,1,2023,2023-09-10 17:00:00,499,0,Central rate (from 04/01/2016),VND/USD,53,,24005.0,11/09/2023
32,72558,1,2023,2023-09-07 17:00:00,300,0,Interbank,VND/USD,53,Ngân hàng Nhà nước Việt Nam,,08/09/2023
33,72557,1,2023,2023-09-07 17:00:00,499,0,Central rate (from 04/01/2016),VND/USD,53,,23993.0,08/09/2023
34,72545,1,2023,2023-09-06 17:00:00,300,0,Interbank,VND/USD,53,Ngân hàng Nhà nước Việt Nam,,07/09/2023
35,72544,1,2023,2023-09-06 17:00:00,499,0,Central rate (from 04/01/2016),VND/USD,53,,23979.0,07/09/2023
36,72532,1,2023,2023-09-05 17:00:00,300,0,Interbank,VND/USD,53,Ngân hàng Nhà nước Việt Nam,,06/09/2023
37,72531,1,2023,2023-09-05 17:00:00,499,0,Central rate (from 04/01/2016),VND/USD,53,,23991.0,06/09/2023
38,72519,1,2023,2023-09-04 17:00:00,300,0,Interbank,VND/USD,53,Ngân hàng Nhà nước Việt Nam,,05/09/2023
39,72518,1,2023,2023-09-04 17:00:00,499,0,Central rate (from 04/01/2016),VND/USD,53,,23959.0,05/09/2023
40,72456,1,2023,2023-09-03 17:00:00,300,0,Interbank,VND/USD,53,Ngân hàng Nhà nước Việt Nam,,04/09/2023
41,72455,1,2023,2023-09-03 17:00:00,499,0,Central rate (from 04/01/2016),VND/USD,53,,23977.0,04/09/2023
42,72443,1,2023,2023-08-30 17:00:00,300,0,Interbank,VND/USD,53,Ngân hàng Nhà nước Việt Nam,,31/08/2023
43,72442,1,2023,2023-08-30 17:00:00,499,0,Central rate (from 04/01/2016),VND/USD,53,,23977.0,31/08/2023
44,72430,1,2023,2023-08-29 17:00:00,300,0,Interbank,VND/USD,53,Ngân hàng Nhà nước Việt Nam,,30/08/2023
45,72429,1,2023,2023-08-29 17:00:00,499,0,Central rate (from 04/01/2016),VND/USD,53,,23978.0,30/08/2023
46,72417,1,2023,2023-08-28 17:00:00,300,0,Interbank,VND/USD,53,Ngân hàng Nhà nước Việt Nam,,29/08/2023
47,72416,1,2023,2023-08-28 17:00:00,499,0,Central rate (from 04/01/2016),VND/USD,53,,23963.0,29/08/2023
48,72412,1,2023,2023-08-27 17:00:00,300,0,Interbank,VND/USD,53,Ngân hàng Nhà nước Việt Nam,,28/08/2023
49,72411,1,2023,2023-08-27 17:00:00,499,0,Central rate (from 04/01/2016),VND/USD,53,,23960.0,28/08/2023
50,72391,1,2023,2023-08-24 17:00:00,300,0,Interbank,VND/USD,53,Ngân hàng Nhà nước Việt Nam,,25/08/2023
51,72390,1,2023,2023-08-24 17:00:00,499,0,Central rate (from 04/01/2016),VND/USD,53,,23942.0,25/08/2023
52,72378,1,2023,2023-08-23 17:00:00,300,0,Interbank,VND/USD,53,Ngân hàng Nhà nước Việt Nam,,24/08/2023
53,72377,1,2023,2023-08-23 17:00:00,499,0,Central rate (from 04/01/2016),VND/USD,53,,23954.0,24/08/2023
54,72365,1,2023,2023-08-22 17:00:00,300,0,Interbank,VND/USD,53,Ngân hàng Nhà nước Việt Nam,,23/08/2023
