,quarter,cash_cycle,net_profit,profit_growth_(%),revenue,revenue_growth_(%),market_capital,eps_(vnd),p/e,p/b,p/s,p/cash_flow,outstanding_share,ev/ebitda,bvps_(vnd),cash_ratio,dept/equity,roe_(%),roa_(%),days_sales_outstanding,days_inventory_outstanding,quick_ratio,days_payable_outstanding,gross_profit_margin_(%),ebit_margin_(%),net_profit_margin_(%),current_ratio,asset_turnover,(st_+_lt_borrowings)/equity,financial_leverage,roic_(%),interest_coverage,fixed_asset_turnover,symbol,net_interest_income,net_interest_income_growth_(%)
0,Q4 2016,34.6690953153,41294860102,0.949968035139267,667686749630.0,0.45157759943489234,1455455443400.0,817.936153121,10.2507346861,1.5419744439,0.6789233795,18.1547154335,56964988.0,10.097187015,16569.6650169048,0.3566449637,2.2234712773,0.160569474,0.0592824452,26.9013687093,53.1543143695,0.7561658468,45.3865877635,0.1479862648,0.1028561942,0.0618617227,1.1941284691,0.241278662,1.8678921798,2.7085501205,0.0985673305,9.4497268252,0.622732492,AAA,,
1,Q1 2017,46.3897648919,66894667573,1.3589281519969312,733501156775.0,0.7287536737328288,1949324605200.0,1303.7093195668,9.7623477119,1.8991290639,0.7959831793,-67.6521585249,59249988.0,10.361165796,17323.7304540115,0.4046884576,2.0388864886,0.1957543261,0.0663251557,26.9965358493,57.0421074644,0.7563888705,37.6488784218,0.1396180216,0.0828572494,0.0917956087,1.1308356422,0.2317389833,1.7678768779,2.9514340982,0.0938262359,3.5868834105,0.5129958113,AAA,,
2,Q2 2017,40.549561885,39129314217,0.16253255911093398,853825654192.0,0.6508347455555434,1970062101000.0,733.1820089396,9.805468162,1.9388129761,0.7072336803,20.0234079185,59249988.0,9.0490768289,17149.6685908021,0.199875821,1.8753111119,0.1934816271,0.0613954974,24.6385588183,49.1820216436,0.6438658914,33.2710185769,0.1439737895,0.1138280928,0.0458332733,1.2367659139,0.2593208288,1.5621741673,3.1513976656,0.1030019959,5.4758375812,0.5730244471,AAA,,
3,Q3 2017,30.4155096031,52029043164,0.3453285696470656,1062929005862.0,0.9819421111815422,2399319655600.0,948.5784655638,8.722133822,1.6569609261,0.7245038704,-22.6308547547,83599988.0,9.0290316408,17320.8671053064,0.1617714246,2.0897542919,0.2006967836,0.0593315402,25.9964321787,41.4707990039,0.5267532534,37.0517215795,0.1215371993,0.0909601596,0.0490067396,1.0299798722,0.2969578457,1.6824295102,3.3826322872,0.1080614248,5.6587128217,0.6783837456,AAA,,
4,Q4 2017,21.9998442288,65289636792,0.5810596435181501,1426507835174.0,1.1364926531258892,3343999520000.0,1117.6135763555,7.4862533961,1.2143632105,0.8217005842,-20.7280567222,167199976.0,9.6765516165,16469.537142613,0.2559657863,1.8161481849,0.2027586985,0.0598047154,24.6033435539,32.8161744246,0.7388767927,35.4196737497,0.1379846497,0.0780155245,0.045802164,1.0763072923,0.3412762086,1.463173196,3.3903463504,0.1106010694,3.8419765456,0.7392433376,AAA,,
5,Q1 2018,31.7141077764,49238222361,-0.26394398615901765,1298291954567.0,0.7699930566915908,2909279582400.0,818.5767393007,7.7930478522,1.1611120081,0.6271577765,-3.8678212646,167199976.0,8.9923458081,14985.6343566939,0.2003133673,2.1639090878,0.1761000524,0.0498232059,29.659191178,38.7462974583,0.7162865108,36.6913808599,0.1136598589,0.0688487774,0.0379351234,1.113669195,0.2772536035,1.8404738309,3.5344986208,0.1081435557,3.8442890531,0.5648077047,AAA,,
6,Q2 2018,21.0598214578,36613161825,-0.06430351367892975,2321958210748.0,1.719475807909914,2431039659200.0,427.6251242571,6.4879353206,0.9881746298,0.3983167859,-2.9221122105,171199976.0,7.7549997154,14369.9297383722,0.2160398048,1.246065696,0.1328767675,0.041399326,19.06533854,22.8235595536,0.6463788334,20.8290766358,0.0733779666,0.0460632014,0.0157939148,1.1494729545,0.411152206,1.0237163279,3.2096360055,0.0927127785,2.3338184203,1.0181456802,AAA,,
7,Q3 2018,41.4872575411,42906658795,-0.17533254148544425,2188614583530.0,1.059041169692332,2448159656800.0,463.7722820527,8.8524796398,0.9766185028,0.3386994376,-8.4462755146,171199976.0,8.4641874659,14642.3603071007,0.2151205462,1.283971334,0.1021766691,0.0344390256,25.89270586,40.8838416811,0.6662188383,25.28929,0.0721881615,0.0404898062,0.0196233745,1.3842730496,0.3319140351,1.0560072765,2.9668861794,0.0785274424,2.1345352467,0.9718618504,AAA,,
8,Q4 2018,42.522325018,51502432019,-0.21116988009786813,2209962396990.0,0.549211537783413,3167199556000.0,428.7364268612,17.57012765,1.2271754653,0.3953280721,82.1778833993,171199976.0,9.4450686201,15075.268796866,0.2013268949,1.5263539457,0.0819311063,0.028285998,28.6330168391,40.4514723437,0.7043627959,26.5621641648,0.0893950141,0.0489278548,0.0233156121,1.2411856212,0.3107963487,1.2868753934,2.8965252053,0.0683695516,2.6821339962,0.9947147177,AAA,,
9,Q1 2019,39.8158322588,214037468440,3.346977981267093,2616643195140.0,1.0154505201510626,3124399562000.0,1460.2979897539,8.9103339347,1.1173442961,0.3350220963,20.505747606,171199976.0,8.3736939787,16333.3719646199,0.1368911397,1.5548577292,0.1334329683,0.0481147743,32.9190004671,33.4800126033,0.9096170417,26.5831808116,0.143416687,0.1055066883,0.0819333364,1.5941152743,0.3368314683,1.2635994978,2.7732223683,0.0899330523,6.0004449618,1.2015340226,AAA,,
