,ReportDataID,TermID,TermYear,TernDay,NormID,NormGroupID,NormName,UnitCode,NormTypeID,FromSource,NormValue,ReportTime
0,70800,14,2023,2023-03-28 17:00:00,240,26,Services,Billion Dong,43,Tổng cục thống kê,1004341.0,Q1/2023
1,70799,14,2023,2023-03-28 17:00:00,239,26,Industry,Billion Dong,43,Tổng cục thống kê,816185.0,Q1/2023
2,70797,14,2023,2023-03-28 17:00:00,237,26,GDP - Current prices,Billion Dong,43,Tổng cục thống kê,2300882.0,Q1/2023
3,70798,14,2023,2023-03-28 17:00:00,238,26,Agriculture,Billion Dong,43,Tổng cục thống kê,268224.0,Q1/2023
4,70812,14,2023,2023-03-28 17:00:00,469,36,Services,Billion Dong,43,,590817.0,Q1/2023
5,70811,14,2023,2023-03-28 17:00:00,468,36,Industry,Billion Dong,43,,459243.0,Q1/2023
6,70802,14,2023,2023-03-28 17:00:00,467,36,Agriculture,Billion Dong,43,,140836.0,Q1/2023
7,70801,14,2023,2023-03-28 17:00:00,466,36,GDP at constant prices (2010),Billion Dong,43,,1320755.0,Q1/2023
8,70816,14,2023,2023-03-28 17:00:00,236,24,Services,%,43,Tổng cục thống kê,6.79,Q1/2023
9,70815,14,2023,2023-03-28 17:00:00,235,24,Industry,%,43,Tổng cục thống kê,-0.4,Q1/2023
10,70814,14,2023,2023-03-28 17:00:00,234,24,Agriculture,%,43,Tổng cục thống kê,2.52,Q1/2023
11,70813,14,2023,2023-03-28 17:00:00,233,24,Total GDP,%,43,Tổng cục thống kê,3.32,Q1/2023
12,70803,14,2023,2023-03-28 17:00:00,232,28,Services,%,43,Tổng cục thống kê,43.65,Q1/2023
13,70810,14,2023,2023-03-28 17:00:00,231,28,Industry,%,43,Tổng cục thống kê,35.47,Q1/2023
14,70809,14,2023,2023-03-28 17:00:00,230,28,Agriculture,%,43,Tổng cục thống kê,11.66,Q1/2023
15,69791,20,2022,2022-12-28 17:00:00,240,26,Services,Billion Dong,43,Tổng cục thống kê,1102360.0,Q4/2022
16,69790,20,2022,2022-12-28 17:00:00,239,26,Industry,Billion Dong,43,Tổng cục thống kê,1008490.0,Q4/2022
17,69788,20,2022,2022-12-28 17:00:00,237,26,GDP - Current prices,Billion Dong,43,Tổng cục thống kê,2669131.0,Q4/2022
18,69789,20,2022,2022-12-28 17:00:00,238,26,Agriculture,Billion Dong,43,Tổng cục thống kê,345510.0,Q4/2022
19,69803,20,2022,2022-12-28 17:00:00,469,36,Services,Billion Dong,43,,666854.0,Q4/2022
20,69802,20,2022,2022-12-28 17:00:00,468,36,Industry,Billion Dong,43,,562396.0,Q4/2022
21,69793,20,2022,2022-12-28 17:00:00,467,36,Agriculture,Billion Dong,43,,178958.0,Q4/2022
22,69792,20,2022,2022-12-28 17:00:00,466,36,GDP at constant prices (2010),Billion Dong,43,,1538951.0,Q4/2022
23,69807,20,2022,2022-12-28 17:00:00,236,24,Services,%,43,Tổng cục thống kê,8.12,Q4/2022
24,69806,20,2022,2022-12-28 17:00:00,235,24,Industry,%,43,Tổng cục thống kê,4.22,Q4/2022
25,69805,20,2022,2022-12-28 17:00:00,234,24,Agriculture,%,43,Tổng cục thống kê,3.85,Q4/2022
26,69804,20,2022,2022-12-28 17:00:00,233,24,Total GDP,%,43,Tổng cục thống kê,5.92,Q4/2022
27,69794,20,2022,2022-12-28 17:00:00,232,28,Services,%,43,Tổng cục thống kê,41.3,Q4/2022
28,69801,20,2022,2022-12-28 17:00:00,231,28,Industry,%,43,Tổng cục thống kê,37.78,Q4/2022
29,69800,20,2022,2022-12-28 17:00:00,230,28,Agriculture,%,43,Tổng cục thống kê,12.95,Q4/2022
30,68526,19,2022,2022-09-28 17:00:00,240,26,Services,Billion Dong,43,Tổng cục thống kê,2825023.0,9M/2022
31,68525,19,2022,2022-09-28 17:00:00,239,26,Industry,Billion Dong,43,Tổng cục thống kê,2646169.0,9M/2022
32,68523,19,2022,2022-09-28 17:00:00,237,26,GDP - Current prices,Billion Dong,43,Tổng cục thống kê,6839048.0,9M/2022
33,68524,19,2022,2022-09-28 17:00:00,238,26,Agriculture,Billion Dong,43,Tổng cục thống kê,770891.0,9M/2022
34,68538,19,2022,2022-09-28 17:00:00,469,36,Services,Billion Dong,43,,1728262.0,9M/2022
35,68537,19,2022,2022-09-28 17:00:00,468,36,Industry,Billion Dong,43,,1477553.0,9M/2022
36,68528,19,2022,2022-09-28 17:00:00,467,36,Agriculture,Billion Dong,43,,424501.0,9M/2022
37,68527,19,2022,2022-09-28 17:00:00,466,36,GDP at constant prices (2010),Billion Dong,43,,4006189.0,9M/2022
38,68542,19,2022,2022-09-28 17:00:00,236,24,Services,%,43,Tổng cục thống kê,10.57,9M/2022
39,68541,19,2022,2022-09-28 17:00:00,235,24,Industry,%,43,Tổng cục thống kê,9.44,9M/2022
40,68540,19,2022,2022-09-28 17:00:00,234,24,Agriculture,%,43,Tổng cục thống kê,2.99,9M/2022
41,68539,19,2022,2022-09-28 17:00:00,233,24,Total GDP,%,43,Tổng cục thống kê,8.83,9M/2022
42,68529,19,2022,2022-09-28 17:00:00,232,28,Services,%,43,Tổng cục thống kê,41.31,9M/2022
43,68536,19,2022,2022-09-28 17:00:00,231,28,Industry,%,43,Tổng cục thống kê,38.69,9M/2022
44,68535,19,2022,2022-09-28 17:00:00,230,28,Agriculture,%,43,Tổng cục thống kê,11.27,9M/2022
45,68506,18,2022,2022-09-28 17:00:00,240,26,Services,Billion Dong,43,Tổng cục thống kê,956208.0,Q3/2022
46,68505,18,2022,2022-09-28 17:00:00,239,26,Industry,Billion Dong,43,Tổng cục thống kê,948921.0,Q3/2022
47,68503,18,2022,2022-09-28 17:00:00,237,26,GDP - Current prices,Billion Dong,43,Tổng cục thống kê,2373152.0,Q3/2022
48,68504,18,2022,2022-09-28 17:00:00,238,26,Agriculture,Billion Dong,43,Tổng cục thống kê,270101.0,Q3/2022
49,68518,18,2022,2022-09-28 17:00:00,469,36,Services,Billion Dong,43,,587647.0,Q3/2022
50,68517,18,2022,2022-09-28 17:00:00,468,36,Industry,Billion Dong,43,,516567.0,Q3/2022
51,68508,18,2022,2022-09-28 17:00:00,467,36,Agriculture,Billion Dong,43,,148123.0,Q3/2022
52,68507,18,2022,2022-09-28 17:00:00,466,36,GDP at constant prices (2010),Billion Dong,43,,1376321.0,Q3/2022
53,68522,18,2022,2022-09-28 17:00:00,236,24,Services,%,43,Tổng cục thống kê,18.86,Q3/2022
54,68521,18,2022,2022-09-28 17:00:00,235,24,Industry,%,43,Tổng cục thống kê,12.91,Q3/2022
55,68520,18,2022,2022-09-28 17:00:00,234,24,Agriculture,%,43,Tổng cục thống kê,3.24,Q3/2022
56,68519,18,2022,2022-09-28 17:00:00,233,24,Total GDP,%,43,Tổng cục thống kê,13.67,Q3/2022
57,68509,18,2022,2022-09-28 17:00:00,232,28,Services,%,43,Tổng cục thống kê,40.29,Q3/2022
58,68516,18,2022,2022-09-28 17:00:00,231,28,Industry,%,43,Tổng cục thống kê,39.99,Q3/2022
59,68515,18,2022,2022-09-28 17:00:00,230,28,Agriculture,%,43,Tổng cục thống kê,11.38,Q3/2022
60,67407,17,2022,2022-06-28 17:00:00,240,26,Services,Billion Dong,43,Tổng cục thống kê,1799520.0,6M/2022
61,67406,17,2022,2022-06-28 17:00:00,239,26,Industry,Billion Dong,43,Tổng cục thống kê,1740713.0,6M/2022
62,67404,17,2022,2022-06-28 17:00:00,237,26,GDP - Current prices,Billion Dong,43,Tổng cục thống kê,4429425.0,6M/2022
63,67405,17,2022,2022-06-28 17:00:00,238,26,Agriculture,Billion Dong,43,Tổng cục thống kê,489649.0,6M/2022
64,67419,17,2022,2022-06-28 17:00:00,469,36,Services,Billion Dong,43,,1094980.0,6M/2022
65,67418,17,2022,2022-06-28 17:00:00,468,36,Industry,Billion Dong,43,,984355.0,6M/2022
66,67409,17,2022,2022-06-28 17:00:00,467,36,Agriculture,Billion Dong,43,,272241.0,6M/2022
67,67408,17,2022,2022-06-28 17:00:00,466,36,GDP at constant prices (2010),Billion Dong,43,,2602382.0,6M/2022
68,67423,17,2022,2022-06-28 17:00:00,236,24,Services,%,43,Tổng cục thống kê,6.6,6M/2022
69,67422,17,2022,2022-06-28 17:00:00,235,24,Industry,%,43,Tổng cục thống kê,7.7,6M/2022
70,67421,17,2022,2022-06-28 17:00:00,234,24,Agriculture,%,43,Tổng cục thống kê,2.78,6M/2022
71,67420,17,2022,2022-06-28 17:00:00,233,24,Total GDP,%,43,Tổng cục thống kê,6.42,6M/2022
72,67410,17,2022,2022-06-28 17:00:00,232,28,Services,%,43,Tổng cục thống kê,40.63,6M/2022
73,67417,17,2022,2022-06-28 17:00:00,231,28,Industry,%,43,Tổng cục thống kê,39.3,6M/2022
