,ReportDataID,TermID,TermYear,TernDay,NormID,GroupName,NormGroupID,NormName,UnitCode,CssStyle,NormTypeID,FromSource,NormValue,ReportTime
0,57040,1,2019,2018-12-27 17:00:00,501,,0,9 months,%,Padding1,66,,5.2,28/12/2018
1,36393,1,2019,2018-12-27 17:00:00,298,,0,6 Months,%,Padding1,66,Ngân hàng Nhà nước Việt Nam,6.2,28/12/2018
2,36392,1,2019,2018-12-27 17:00:00,297,,0,3 Months,%,Padding1,66,Ngân hàng Nhà nước Việt Nam,5.6,28/12/2018
3,36391,1,2019,2018-12-27 17:00:00,296,,0,1 Months,%,Padding1,66,Ngân hàng Nhà nước Việt Nam,4.85,28/12/2018
4,36390,1,2019,2018-12-27 17:00:00,295,,0,2 Weeks,%,Padding1,66,Ngân hàng Nhà nước Việt Nam,4.77,28/12/2018
5,36389,1,2019,2018-12-27 17:00:00,294,,0,1 Weeks,%,Padding1,66,Ngân hàng Nhà nước Việt Nam,4.16,28/12/2018
6,36388,1,2019,2018-12-27 17:00:00,293,,0,Overnight,%,Padding1,66,Ngân hàng Nhà nước Việt Nam,3.91,28/12/2018
7,57039,1,2018,2018-12-26 17:00:00,501,,0,9 months,%,Padding1,66,,0.0,27/12/2018
8,36376,1,2018,2018-12-26 17:00:00,298,,0,6 Months,%,Padding1,66,Ngân hàng Nhà nước Việt Nam,5.98,27/12/2018
9,36375,1,2018,2018-12-26 17:00:00,297,,0,3 Months,%,Padding1,66,Ngân hàng Nhà nước Việt Nam,5.54,27/12/2018
10,36374,1,2018,2018-12-26 17:00:00,296,,0,1 Months,%,Padding1,66,Ngân hàng Nhà nước Việt Nam,4.87,27/12/2018
11,36373,1,2018,2018-12-26 17:00:00,295,,0,2 Weeks,%,Padding1,66,Ngân hàng Nhà nước Việt Nam,4.54,27/12/2018
12,36372,1,2018,2018-12-26 17:00:00,294,,0,1 Weeks,%,Padding1,66,Ngân hàng Nhà nước Việt Nam,4.52,27/12/2018
13,36371,1,2018,2018-12-26 17:00:00,293,,0,Overnight,%,Padding1,66,Ngân hàng Nhà nước Việt Nam,3.87,27/12/2018
14,57038,1,2018,2018-12-25 17:00:00,501,,0,9 months,%,Padding1,66,,0.0,26/12/2018
15,36369,1,2018,2018-12-25 17:00:00,298,,0,6 Months,%,Padding1,66,Ngân hàng Nhà nước Việt Nam,5.8,26/12/2018
16,36368,1,2018,2018-12-25 17:00:00,297,,0,3 Months,%,Padding1,66,Ngân hàng Nhà nước Việt Nam,5.64,26/12/2018
17,36367,1,2018,2018-12-25 17:00:00,296,,0,1 Months,%,Padding1,66,Ngân hàng Nhà nước Việt Nam,4.97,26/12/2018
18,36366,1,2018,2018-12-25 17:00:00,295,,0,2 Weeks,%,Padding1,66,Ngân hàng Nhà nước Việt Nam,4.83,26/12/2018
19,36365,1,2018,2018-12-25 17:00:00,294,,0,1 Weeks,%,Padding1,66,Ngân hàng Nhà nước Việt Nam,4.68,26/12/2018
20,36364,1,2018,2018-12-25 17:00:00,293,,0,Overnight,%,Padding1,66,Ngân hàng Nhà nước Việt Nam,4.39,26/12/2018
21,57037,1,2018,2018-12-23 17:00:00,501,,0,9 months,%,Padding1,66,,0.0,24/12/2018
22,36362,1,2018,2018-12-23 17:00:00,298,,0,6 Months,%,Padding1,66,Ngân hàng Nhà nước Việt Nam,6.06,24/12/2018
23,36361,1,2018,2018-12-23 17:00:00,297,,0,3 Months,%,Padding1,66,Ngân hàng Nhà nước Việt Nam,5.69,24/12/2018
24,36360,1,2018,2018-12-23 17:00:00,296,,0,1 Months,%,Padding1,66,Ngân hàng Nhà nước Việt Nam,5.15,24/12/2018
25,36359,1,2018,2018-12-23 17:00:00,295,,0,2 Weeks,%,Padding1,66,Ngân hàng Nhà nước Việt Nam,4.81,24/12/2018
26,36358,1,2018,2018-12-23 17:00:00,294,,0,1 Weeks,%,Padding1,66,Ngân hàng Nhà nước Việt Nam,4.69,24/12/2018
27,36357,1,2018,2018-12-23 17:00:00,293,,0,Overnight,%,Padding1,66,Ngân hàng Nhà nước Việt Nam,4.56,24/12/2018
28,57036,1,2018,2018-12-20 17:00:00,501,,0,9 months,%,Padding1,66,,0.0,21/12/2018
29,36355,1,2018,2018-12-20 17:00:00,298,,0,6 Months,%,Padding1,66,Ngân hàng Nhà nước Việt Nam,5.91,21/12/2018
30,36354,1,2018,2018-12-20 17:00:00,297,,0,3 Months,%,Padding1,66,Ngân hàng Nhà nước Việt Nam,5.66,21/12/2018
31,36353,1,2018,2018-12-20 17:00:00,296,,0,1 Months,%,Padding1,66,Ngân hàng Nhà nước Việt Nam,5.04,21/12/2018
32,36352,1,2018,2018-12-20 17:00:00,295,,0,2 Weeks,%,Padding1,66,Ngân hàng Nhà nước Việt Nam,4.81,21/12/2018
33,36351,1,2018,2018-12-20 17:00:00,294,,0,1 Weeks,%,Padding1,66,Ngân hàng Nhà nước Việt Nam,4.69,21/12/2018
34,36350,1,2018,2018-12-20 17:00:00,293,,0,Overnight,%,Padding1,66,Ngân hàng Nhà nước Việt Nam,4.55,21/12/2018
35,57035,1,2018,2018-12-19 17:00:00,501,,0,9 months,%,Padding1,66,,0.0,20/12/2018
36,36348,1,2018,2018-12-19 17:00:00,298,,0,6 Months,%,Padding1,66,Ngân hàng Nhà nước Việt Nam,5.47,20/12/2018
37,36347,1,2018,2018-12-19 17:00:00,297,,0,3 Months,%,Padding1,66,Ngân hàng Nhà nước Việt Nam,6.17,20/12/2018
38,36346,1,2018,2018-12-19 17:00:00,296,,0,1 Months,%,Padding1,66,Ngân hàng Nhà nước Việt Nam,4.98,20/12/2018
39,36345,1,2018,2018-12-19 17:00:00,295,,0,2 Weeks,%,Padding1,66,Ngân hàng Nhà nước Việt Nam,4.82,20/12/2018
40,36344,1,2018,2018-12-19 17:00:00,294,,0,1 Weeks,%,Padding1,66,Ngân hàng Nhà nước Việt Nam,4.42,20/12/2018
41,36343,1,2018,2018-12-19 17:00:00,293,,0,Overnight,%,Padding1,66,Ngân hàng Nhà nước Việt Nam,4.61,20/12/2018
42,57034,1,2018,2018-12-18 17:00:00,501,,0,9 months,%,Padding1,66,,0.0,19/12/2018
43,36341,1,2018,2018-12-18 17:00:00,298,,0,6 Months,%,Padding1,66,Ngân hàng Nhà nước Việt Nam,5.97,19/12/2018
44,36340,1,2018,2018-12-18 17:00:00,297,,0,3 Months,%,Padding1,66,Ngân hàng Nhà nước Việt Nam,5.4,19/12/2018
45,36339,1,2018,2018-12-18 17:00:00,296,,0,1 Months,%,Padding1,66,Ngân hàng Nhà nước Việt Nam,5.04,19/12/2018
46,36338,1,2018,2018-12-18 17:00:00,295,,0,2 Weeks,%,Padding1,66,Ngân hàng Nhà nước Việt Nam,4.67,19/12/2018
47,36337,1,2018,2018-12-18 17:00:00,294,,0,1 Weeks,%,Padding1,66,Ngân hàng Nhà nước Việt Nam,4.84,19/12/2018
48,36336,1,2018,2018-12-18 17:00:00,293,,0,Overnight,%,Padding1,66,Ngân hàng Nhà nước Việt Nam,4.71,19/12/2018
49,57033,1,2018,2018-12-17 17:00:00,501,,0,9 months,%,Padding1,66,,0.0,18/12/2018
50,36334,1,2018,2018-12-17 17:00:00,298,,0,6 Months,%,Padding1,66,Ngân hàng Nhà nước Việt Nam,6.02,18/12/2018
51,36333,1,2018,2018-12-17 17:00:00,297,,0,3 Months,%,Padding1,66,Ngân hàng Nhà nước Việt Nam,5.46,18/12/2018
52,36332,1,2018,2018-12-17 17:00:00,296,,0,1 Months,%,Padding1,66,Ngân hàng Nhà nước Việt Nam,5.2,18/12/2018
53,36331,1,2018,2018-12-17 17:00:00,295,,0,2 Weeks,%,Padding1,66,Ngân hàng Nhà nước Việt Nam,4.76,18/12/2018
54,36330,1,2018,2018-12-17 17:00:00,294,,0,1 Weeks,%,Padding1,66,Ngân hàng Nhà nước Việt Nam,4.92,18/12/2018
55,36329,1,2018,2018-12-17 17:00:00,293,,0,Overnight,%,Padding1,66,Ngân hàng Nhà nước Việt Nam,4.78,18/12/2018
56,57032,1,2018,2018-12-16 17:00:00,501,,0,9 months,%,Padding1,66,,0.0,17/12/2018
57,36327,1,2018,2018-12-16 17:00:00,298,,0,6 Months,%,Padding1,66,Ngân hàng Nhà nước Việt Nam,6.26,17/12/2018
58,36326,1,2018,2018-12-16 17:00:00,297,,0,3 Months,%,Padding1,66,Ngân hàng Nhà nước Việt Nam,5.65,17/12/2018
59,36325,1,2018,2018-12-16 17:00:00,296,,0,1 Months,%,Padding1,66,Ngân hàng Nhà nước Việt Nam,5.05,17/12/2018
60,36324,1,2018,2018-12-16 17:00:00,295,,0,2 Weeks,%,Padding1,66,Ngân hàng Nhà nước Việt Nam,4.97,17/12/2018
61,36323,1,2018,2018-12-16 17:00:00,294,,0,1 Weeks,%,Padding1,66,Ngân hàng Nhà nước Việt Nam,4.92,17/12/2018
62,36322,1,2018,2018-12-16 17:00:00,293,,0,Overnight,%,Padding1,66,Ngân hàng Nhà nước Việt Nam,4.77,17/12/2018
63,57031,1,2018,2018-12-13 17:00:00,501,,0,9 months,%,Padding1,66,,0.0,14/12/2018
