,ratio,net_profit,profit_growth_(%),revenue,revenue_growth_(%),market_capital,eps_(vnd),p/e,outstanding_share,roe_(%),symbol
0,Q4 2016,41294860102,0.949968035139267,667686749630.0,0.45157759943489234,1455455443400.0,817.936153121,10.2507346861,56964988.0,0.160569474,AAA
1,Q1 2017,66894667573,1.3589281519969312,733501156775.0,0.7287536737328288,1949324605200.0,1303.7093195668,9.7623477119,59249988.0,0.1957543261,AAA
2,Q2 2017,39129314217,0.16253255911093398,853825654192.0,0.6508347455555434,1970062101000.0,733.1820089396,9.805468162,59249988.0,0.1934816271,AAA
3,Q3 2017,52029043164,0.3453285696470656,1062929005862.0,0.9819421111815422,2399319655600.0,948.5784655638,8.722133822,83599988.0,0.2006967836,AAA
4,Q4 2017,65289636792,0.5810596435181501,1426507835174.0,1.1364926531258892,3343999520000.0,1117.6135763555,7.4862533961,167199976.0,0.2027586985,AAA
5,Q1 2018,49238222361,-0.26394398615901765,1298291954567.0,0.7699930566915908,2909279582400.0,818.5767393007,7.7930478522,167199976.0,0.1761000524,AAA
6,Q2 2018,36613161825,-0.06430351367892975,2321958210748.0,1.719475807909914,2431039659200.0,427.6251242571,6.4879353206,171199976.0,0.1328767675,AAA
7,Q3 2018,42906658795,-0.17533254148544425,2188614583530.0,1.059041169692332,2448159656800.0,463.7722820527,8.8524796398,171199976.0,0.1021766691,AAA
8,Q4 2018,51502432019,-0.21116988009786813,2209962396990.0,0.549211537783413,3167199556000.0,428.7364268612,17.57012765,171199976.0,0.0819311063,AAA
9,Q1 2019,214037468440,3.346977981267093,2616643195140.0,1.0154505201510626,3124399562000.0,1460.2979897539,8.9103339347,171199976.0,0.1334329683,AAA
10,Q2 2019,131699043390,2.5970409772169414,2438667426222.0,0.050263271291348124,2602239635200.0,781.7308331305,5.8849810348,171199976.0,0.1632973755,AAA
11,Q3 2019,63700407693,0.48462754924238327,2367421386693.0,0.0816986254722857,2157119697600.0,373.8043619865,4.6798341048,171199976.0,0.1653537221,AAA
12,Q4 2019,58905123997,0.14373480412088188,1837237323176.0,-0.1686567492377503,2114319703600.0,344.0720341982,4.5916964941,171199976.0,0.1628411071,AAA
13,Q1 2020,58484466803,-0.7267559403068036,1573567523917.0,-0.39863122077948865,2323199736000.0,341.6149240757,6.0714678924,211199976.0,0.1074597371,AAA
14,Q2 2020,67684300148,-0.48606839954359676,1813708066994.0,-0.25627084386664045,2406095717900.0,395.3522759139,8.4360766474,221759974.0,0.0846692563,AAA
15,Q3 2020,78565203153,0.23335479313790142,1929838085125.0,-0.18483540954204639,2705471682800.0,437.3372852807,8.8017822734,221759974.0,0.0849258811,AAA
16,Q4 2020,57706672925,-0.020345446892888915,2121135981877.0,0.15452476123782927,3614687576200.0,303.3929148279,13.783847967,221759974.0,0.0802547007,AAA
17,Q1 2021,75141819491,0.2848166974678745,2284373757361.0,0.45171638499161887,4792673580100.0,374.9093396021,13.2251361651,296759974.0,0.0809084682,AAA
18,Q2 2021,86326563080,0.27542964751406773,3269796291844.0,0.8028239226301115,5614673331200.0,365.3875605369,15.1403815172,326434496.0,0.075829856,AAA
19,Q3 2021,62514754147,-0.20429462868877105,3409264544303.0,0.7666065202989163,5679960230400.0,238.5264772528,17.4485730834,326434496.0,0.0672888301,AAA
20,Q4 2021,60517570104,0.04871008908542097,4201845098822.0,0.9809409367068365,4341578796800.0,200.6265828952,13.8224767009,326434496.0,0.0633656499,AAA
21,Q1 2022,88086043638,0.17226391687987241,4027853795475.0,0.7632201308984297,4682862576000.0,274.9313828942,13.3803436105,382274496.0,0.0622205986,AAA
22,Q2 2022,85425095236,-0.010442531381269025,4578733575653.0,0.4003115689726425,2981741068800.0,251.7621583188,9.0676533791,382274496.0,0.0616755474,AAA
23,Q3 2022,79866172011,0.2775571639168427,3291406943915.0,-0.0345698020369068,3184346551680.0,234.5214040577,9.0373510339,382274496.0,0.0624264531,AAA
24,Q4 2022,-97726483611,-2.6148448036339884,3415845425613.0,-0.18706060188400506,4071223382400.0,-275.4256541823,24.7630912921,382274496.0,0.0299086513,AAA
25,Q1 2023,53895480338,-0.38814960790508607,3617596915511.0,-0.1018549581975626,4721090025600.0,146.1454126584,37.4972912396,382274496.0,0.0225218533,AAA
26,Q2 2023,42275112576,-0.5051206854471922,2792257990090.0,-0.3901680576180326,3574266537600.0,112.222728483,40.7445172262,382274496.0,0.0141870418,AAA
27,Q3 2023,99049764272,0.24019671630634604,3531352090707.0,0.07290048021427414,3558975557760.0,259.1063890174,36.5046071846,382274496.0,0.0174593204,AAA
56,Q4 2016,2869056015,1.1134436798133007,761012711294.0,0.09516761448636638,459236750000.0,43.7321100827,23.7622385994,65605250.0,0.0153792701,ANV
57,Q1 2017,24889056519,3.530190198552434,701300942857.0,0.19997795136920557,918473500000.0,379.3759877296,23.5128597361,65605250.0,0.0303150558,ANV
58,Q2 2017,27631959407,1.2456805755416682,670072910769.0,-0.12962302852159074,1120602376250.0,421.1851857435,6.2545606914,124649875.0,0.1358830899,ANV
59,Q3 2017,33194113172,-0.7318201532820231,740407586642.0,0.011752177068559005,1682773312500.0,266.2988083382,18.9963175747,124649875.0,0.0668128333,ANV
60,Q4 2017,45112447046,14.723794450210482,855778677007.0,0.12452612723362161,3191036800000.0,361.9132955087,22.4142296173,124649875.0,0.0973604439,ANV
61,Q1 2018,75891040665,2.0491730615447685,817634535287.0,0.16588255529227372,2362115131250.0,608.8336684253,12.9908202356,124649875.0,0.132023583,ANV
62,Q2 2018,113335027879,3.101592153117048,876206980429.0,0.3076293136868241,2941737050000.0,909.2269677687,10.9958066185,124649875.0,0.1898002226,ANV
63,Q3 2018,114171206752,2.43950164176418,1053380730613.0,0.4227038588170599,3426554381250.0,915.9351884789,9.6449782573,127144875.0,0.2383639446,ANV
