symbol,number_of_conditions_met,rank
SSI,8,1
SJS,7,2
VND,7,3
HPG,5,4
IMP,5,5
HCM,5,6
VIX,5,7
CTD,5,8
VGC,5,9
PAN,5,10
KDC,4,11
NKG,4,12
MWG,4,13
CII,4,14
BMP,4,15
VNM,4,16
SAM,3,17
PVD,3,18
PTB,3,19
PDR,3,20
VCG,3,21
NLG,3,22
VIC,3,23
KBC,3,24
HSG,3,25
TMS,3,26
DGW,3,27
GAS,3,28
CTR,3,29
DHC,3,30
DXG,3,31
FPT,3,32
DPM,3,33
DCM,3,34
HAG,3,35
VPB,2,36
VHM,2,37
FTS,2,38
MBB,2,39
VIB,2,40
VJC,2,41
HDB,2,42
GVR,2,43
LPB,2,44
KOS,2,45
MSB,2,46
GEG,2,47
HHV,2,48
GEX,2,49
VPI,2,50
TCB,2,51
VCI,2,52
OCB,2,53
SZC,2,54
PC1,2,55
PLX,2,56
VCB,2,57
POW,2,58
SAB,2,59
SCS,2,60
SHB,2,61
EIB,2,62
SSB,2,63
STB,2,64
TPB,2,65
TCH,2,66
FRT,2,67
AAA,2,68
DXS,2,69
CTG,2,70
ASM,2,71
BCG,2,72
BVH,2,73
CMG,2,74
DBC,2,75
DGC,2,76
DIG,2,77
GMD,2,78
HDC,2,79
HDG,2,80
HT1,2,81
KDH,2,82
MSN,2,83
NT2,2,84
PHR,2,85
PNJ,2,86
PPC,2,87
PVT,2,88
REE,2,89
SBT,2,90
ANV,2,91
VHC,2,92
VSH,2,93
ACB,2,94
AGG,2,95
BCM,2,96
BID,2,97
BWE,2,98
CRE,2,99
VRE,2,100
