condition_met,0,1,condition_met,2,3,condition_met,EMA_Condition_Met,MA_Condition_Met,Total Conditions Met,Ranking
,True,True,,True,True,,True,True,6,1
,True,False,,True,True,,True,True,5,2
,False,True,,True,True,,True,True,5,3
,False,True,,True,True,,True,True,5,4
,False,True,,False,True,,True,True,4,5
,False,True,,False,True,,True,True,4,6
,False,False,,True,True,,True,True,4,7
,False,False,,True,True,,True,True,4,8
,False,True,,False,True,,True,True,4,9
,False,True,,False,True,,True,True,4,10
,False,False,,True,True,,True,True,4,11
,False,False,,True,False,,True,True,3,12
,False,False,,True,False,,True,True,3,13
,False,False,,False,True,,True,True,3,14
,False,True,,False,False,,True,True,3,15
,False,False,,False,True,,True,True,3,16
,True,False,,False,False,,True,True,3,17
,False,True,,False,False,,True,True,3,18
,False,False,,False,True,,True,True,3,19
,False,False,,True,False,,True,True,3,20
,False,True,,False,False,,True,True,3,21
,False,False,,False,True,,True,True,3,22
,False,False,,True,False,,True,True,3,23
,False,False,,True,False,,True,True,3,24
,False,False,,True,False,,True,True,3,25
,True,False,,False,False,,True,True,3,26
,True,False,,False,False,,True,True,3,27
,True,False,,False,False,,True,True,3,28
,False,False,,True,False,,True,True,3,29
,,,,,,,True,True,2,30
,,,,,,,True,True,2,31
,False,False,,False,False,,True,True,2,32
,False,False,,False,False,,True,True,2,33
,False,False,,False,False,,True,True,2,34
,,,,,,,True,True,2,35
,,,,,,,True,True,2,36
,,,,,,,True,True,2,37
,False,False,,False,False,,True,True,2,38
,,,,,,,True,True,2,39
,,,,,,,True,True,2,40
,False,False,,False,False,,True,True,2,41
,,,,,,,True,True,2,42
,,,,,,,True,True,2,43
,,,,,,,True,True,2,44
,,,,,,,True,True,2,45
,,,,,,,True,True,2,46
,,,,,,,True,True,2,47
,,,,,,,True,True,2,48
,False,False,,False,False,,True,True,2,49
,,,,,,,True,True,2,50
,False,False,,False,False,,True,True,2,51
,,,,,,,True,True,2,52
,,,,,,,True,True,2,53
,False,False,,False,False,,True,True,2,54
,,,,,,,True,True,2,55
,,,,,,,True,True,2,56
,False,False,,False,False,,True,True,2,57
,,,,,,,True,True,2,58
,,,,,,,True,True,2,59
,False,False,,False,False,,True,True,2,60
,,,,,,,True,True,2,61
,,,,,,,True,True,2,62
,,,,,,,True,True,2,63
,,,,,,,True,True,2,64
,,,,,,,True,True,2,65
,,,,,,,True,True,2,66
,,,,,,,True,True,2,67
,,,,,,,True,True,2,68
,,,,,,,True,True,2,69
,,,,,,,True,True,2,70
,,,,,,,True,True,2,71
,False,False,,False,False,,True,True,2,72
,False,False,,False,False,,True,True,2,73
,,,,,,,True,True,2,74
,,,,,,,True,True,2,75
,False,False,,False,False,,True,True,2,76
,False,False,,False,False,,True,True,2,77
,,,,,,,True,True,2,78
,,,,,,,True,True,2,79
,,,,,,,True,True,2,80
,,,,,,,True,True,2,81
,,,,,,,True,True,2,82
,False,False,,False,False,,True,True,2,83
,,,,,,,True,True,2,84
,False,False,,False,False,,True,True,2,85
,False,False,,False,False,,True,True,2,86
,,,,,,,True,True,2,87
,False,False,,False,False,,True,True,2,88
,False,False,,False,False,,True,True,2,89
True,,,True,,,False,,,2,90
,False,False,,False,False,,True,True,2,91
True,,,True,,,False,,,2,92
True,,,True,,,False,,,2,93
True,,,True,,,False,,,2,94
,False,False,,False,False,,True,True,2,95
,False,False,,False,False,,True,True,2,96
,False,False,,False,False,,True,True,2,97
True,,,True,,,False,,,2,98
,False,False,,False,False,,True,True,2,99
,False,False,,False,False,,True,True,2,100
,False,False,,False,False,,True,True,2,101
,False,False,,False,False,,True,True,2,102
,False,False,,False,False,,True,True,2,103
,False,False,,False,False,,True,True,2,104
,False,False,,False,False,,True,True,2,105
True,,,False,,,False,,,1,106
False,,,True,,,False,,,1,107
True,,,False,,,False,,,1,108
False,,,True,,,False,,,1,109
False,,,True,,,False,,,1,110
False,,,True,,,False,,,1,111
True,,,False,,,False,,,1,112
True,,,False,,,False,,,1,113
True,,,False,,,False,,,1,114
True,,,False,,,False,,,1,115
True,,,False,,,False,,,1,116
False,,,True,,,False,,,1,117
False,,,True,,,False,,,1,118
False,,,False,,,False,,,0,119
False,,,False,,,False,,,0,120
False,,,False,,,False,,,0,121
False,,,False,,,False,,,0,122
False,,,False,,,False,,,0,123
False,,,False,,,False,,,0,124
False,,,False,,,False,,,0,125
False,,,False,,,False,,,0,126
False,,,False,,,False,,,0,127
False,,,False,,,False,,,0,128
False,,,False,,,False,,,0,129
False,,,False,,,False,,,0,130
False,,,False,,,False,,,0,131
False,,,False,,,False,,,0,132
False,,,False,,,False,,,0,133
False,,,False,,,False,,,0,134
False,,,False,,,False,,,0,135
False,,,False,,,False,,,0,136
False,,,False,,,False,,,0,137
False,,,False,,,False,,,0,138
False,,,False,,,False,,,0,139
False,,,False,,,False,,,0,140
False,,,False,,,False,,,0,141
False,,,False,,,False,,,0,142
False,,,False,,,False,,,0,143
False,,,False,,,False,,,0,144
False,,,False,,,False,,,0,145
False,,,False,,,False,,,0,146
False,,,False,,,False,,,0,147
False,,,False,,,False,,,0,148
False,,,False,,,False,,,0,149
False,,,False,,,False,,,0,150
False,,,False,,,False,,,0,151
False,,,False,,,False,,,0,152
False,,,False,,,False,,,0,153
False,,,False,,,False,,,0,154
False,,,False,,,False,,,0,155
False,,,False,,,False,,,0,156
False,,,False,,,False,,,0,157
False,,,False,,,False,,,0,158
False,,,False,,,False,,,0,159
